section id,recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,1,1731061675616913370,1731061675656887370,40,55.69511007237902,4.206344158396578,1510.0841572459449,1948.5626543045646
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,2,1731061675876928370,1731061675904927370,28,49.941303195361456,3.7470193578183717,1784.3416154841489,2317.024287913607
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,3,1731061676510939370,1731061676542784370,32,42.51181400233452,3.1801550527782316,1476.9612619437873,1956.9387908065967
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,4,1731061677330627370,1731061677798638370,468,152.6750624895345,11.534993289145527,2192.0780140052143,5117.956821291202
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,5,1731061677874890370,1731061678038719370,164,21.996136605386713,1.6631098452015445,3329.443411552007,7030.833988066184
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,6,1731061678126664370,1731061678283312370,157,14.242476697003852,1.0753905096135612,2892.513660860403,5864.4862789222725
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,7,1731061678567409370,1731061678783286370,216,244.4031505446463,18.449901986330612,3387.917608759945,7147.9465027549495
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,8,1731061678889152370,1731061679133155370,244,246.34150295186723,18.593314044663146,2815.2911901689827,6726.297075941222
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,9,1731061679385128370,1731061679525277370,140,30.781813125777838,2.3251929216329232,2045.7486813323158,4293.095554298037
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,10,1731061679817101370,1731061679929152370,112,55.28633285918835,4.177586707363705,3157.213341854312,6024.930419245576
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,11,1731061680077113370,1731061680109084370,32,36.082617780399154,2.72716505530562,1060.3234324157738,1257.742973138395
