recording id,timestamp [ns],name,type
8deee3c8-ac61-43a0-8b3b-7f17a41179af,1731061673794000000,recording.begin,recording
8deee3c8-ac61-43a0-8b3b-7f17a41179af,1731061795541000000,recording.end,recording
