ID,x,y,rotation_angle
120,26.125,26.125,0
121,264,26.125,0
122,501.875,26.125,0
123,26.125,148.49985,0
124,501.875,148.49985,0
125,26.125,270.8747,0
126,264,270.8747,0
127,501.875,270.8747,0
